Image,Name,Personality Traits
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BMjAxNDQyNDkxM15BMl5BanBnXkFtZTcwNTQyNTA0MQ@@._V1_UY209_CR87,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Akshaye Khanna,"Akshaye Khanna (born 28 March 1975)[1] is an Indian actor who appears in Hindi films. He has received two Filmfare Awards and is the son of late actor Vinod Khanna. After studying in Kishore Namit Kapoor Acting Institute in Mumbai, Khanna made his acting debut in Bollywood in 1997 with the movie Himalay Putra. His next release Border (1997) emerged as a critical and commercial success, earning him the Filmfare Best Debut Award and a nomination for Filmfare Award for Best Supporting Actor.Khanna rose to prominence with starring roles in the musical romantic drama Taal (1999), the comedy drama Dil Chahta Hai (2001) which won him a Filmfare Award for Best Supporting Actor, the romantic thriller Humraaz (2002) for which he was nominated in the Best Negative Role category, the romantic comedies Hungama (2003) and Hulchul (2004), the murder mystery 36 China Town (2006), the action thriller Race (2008) and the heist comedy Tees Maar Khan (2010), and he continued to draw praise for his performances in the 1999 romance Dahek, the 2002 psychological thriller Deewangee, the 2007 biographical drama Gandhi, My Father and the 2010 action thriller film Aakrosh."
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BMjA4Nzk3MDU0OV5BMl5BanBnXkFtZTgwMTEyMDU0OTE@._V1_UX140_CR0,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Emraan Hashmi,"Syed Emraan Anwar Hashmi (pronounced [ɪmraːn ˈɦaːʃmiː]; born 24 March 1979) is an Indian film actor who appears in Hindi films.[1] Through his career, Hashmi has received three Filmfare Award nominations.[2][3]He worked as an assistant director for the 2002 horror film Raaz before pursuing a career in acting. By 2004, Hashmi had established himself as one of the leading actors of Hindi cinema with roles in the successful Murder (2004), Zeher (2005), Aashiq Banaya Aapne (2005),Kalyug (2005), Aksar (2006), and Gangster (2006). However, he followed it with roles in films that underperformed at the box office before starring in the acclaimed drama Awarapan (2007).The year 2008 marked a turning point for Hashmi, when he played a conman in the crime drama Jannat. He subsequently gained recognition for portraying a range of unconventional characters in the horror film Raaz: The Mystery Continues (2009), the biographical drama The Dirty Picture (2011), the psychological thriller Murder 2 (2011), the romantic comedy Dil Toh Baccha Hai Ji (2011), the crime thriller Jannat 2 (2012), and the supernatural thrillers Raaz 3 (2012) and Ek Thi Daayan (2013), all of which earned him critical appreciation. Hashmi's acclaimed performances in the underworld drama Once Upon a Time in Mumbaai (2010) and the political thriller Shanghai (2012), garnered him two Best Supporting Actor nominations at Filmfare. After appearing in another series of box office flops, he starred as the titular character in the biographical sports drama Azhar and an evil spirit in the horror thriller Raaz Reboot (both 2016) – and received praise for the drama Hamari Adhuri Kahani (2015), and  Baadshaho (2017).[4][5]"
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BMjA4MjYwNzAzM15BMl5BanBnXkFtZTcwMzUyMTUxNw@@._V1_UX140_CR0,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Farhan Akhtar,"Farhan Akhtar (born 9 January 1974) is an Indian film director, screenwriter, actor, playback singer, producer, and television host. Born in Mumbai to screenwriters Javed Akhtar and Honey Irani, he grew up under the influence of the Hindi film industry. He began his career in Bollywood by working as an assistant director in Lamhe (1991) and Himalay Putra (1997).Akhtar, after establishing a production company named Excel Entertainment along with Ritesh Sidhwani, made his directorial debut with Dil Chahta Hai (2001) and received critical acclaim for portraying modern youth. The film also won a National award. Following it, he made the cult war film Lakshya (2004) and had his Hollywood debut through the soundtrack of Bride and Prejudice (2004), for which he wrote the lyrics. He went on to make the commercially successful Don (2006). He directed a short film titled Positive (2007), to spread awareness on HIV-AIDS.Although he initially started his acting career with The Fakir of Venice, his official debut was with Rock On!! (2008), for which he won a second National Award for Best Feature Film in Hindi as producer, and indulged in further experimentation before he wrote the script, produced and acted for the critical and commercial success Zindagi Na Milegi Dobara (2011), which won him four Filmfare Awards, including Best Supporting Actor. In the same year, he directed a sequel to Don titled Don 2 (2011), which remains his highest-grossing film till date. He achieved further success by portraying Milkha Singh in the 2013 film Bhaag Milkha Bhaag, earning him the Filmfare Award for Best Actor. In 2016, Akhtar received praise for starring in the crime thriller Wazir and the comedy drama Dil Dhadakne Do."
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BMTk1NjU1NjkxN15BMl5BanBnXkFtZTcwNDI4MDMzMg@@._V1_UY209_CR7,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Abhishek Bachchan,"Abhishek Bachchan (born 5 February 1976) is an Indian film actor and film producer known for his work in Bollywood. Part of the Bachchan family, he is the son of actors Amitabh Bachchan and Jaya Bachchan.Bachchan made his acting debut in 2000 with J. P. Dutta's war film Refugee, and followed it by starring in over a dozen films which were both critical and commercial failures. His first commercial successes came with the 2004 action films Dhoom and Run, which changed his career prospects. Bachchan went on to earn critical appreciation for his performances in the dramas Yuva (2004), Sarkar (2005), and Kabhi Alvida Naa Kehna (2006), which won him three consecutive Filmfare Award for Best Supporting Actor. In 2007, he portrayed a character loosely based on Dhirubhai Ambani in Mani Ratnam's drama film Guru, which earned him a nomination for the Filmfare Award for Best Actor.Bachchan has also played leading and supporting roles in commercially successful comedies and dramas, including Bunty Aur Babli (2005), Sarkar (2005),   Bluffmaster! (2005), Kabhi Alvida Naa Kehna (2006), Guru (2007),  Jhoom Barabar Jhoom (2007), Dostana (2008), Bol Bachchan (2012), Happy New Year (2014), and Housefull 3 (2016). His highest-grossing releases include the action sequels Dhoom (2004), Dhoom 2 (2006), and Dhoom 3 (2013).[1]"
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BMTUyNjI2NTg3M15BMl5BanBnXkFtZTcwNDEzNDg3OA@@._V1_UX140_CR0,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Saif Ali Khan,"Saif Ali Khan (pronounced [ˈsɛːf əˈli ˈxaːn]; born Sajid Ali Khan on 16 August 1970)[1] is an Indian film actor and producer. The son of actress Sharmila Tagore and cricketer Mansoor Ali Khan Pataudi, Khan made his acting debut in Yash Chopra's drama Parampara (1993), but achieved success with his roles in the romantic drama Yeh Dillagi and the action film Main Khiladi Tu Anari (both 1994). Khan's career prospect declined through much of the 1990s, and his biggest commercial success of the decade came with the ensemble drama Hum Saath-Saath Hain (1999). He rose to prominence with roles in two ensemble comedy-dramas—Dil Chahta Hai (2001) and Kal Ho Naa Ho (2003).The 2004 romantic comedy Hum Tum proved to be Khan's first success in which he played the sole male lead, earning him the National Film Award for Best Actor, and starring roles in the drama Parineeta and the romantic comedy Salaam Namaste (both 2005) established him as a leading actor in Bollywood. He earned wide critical praise for his portrayal of a manipulative businessman in the 2004 thriller Ek Hasina Thi, an apprentice in the 2006 English film Being Cyrus, a character based on William Shakespeare's antagonist Iago in the 2006 crime film Omkara, and a terrorist in the 2009 thriller Kurbaan. Khan's greatest commercial success came with the 2008 thriller Race and its 2013 sequel, the 2009 romance Love Aaj Kal, and the 2012 romantic comedy Cocktail. He followed it by starring in a series of films that under-performed at the box office, but received praise in 2018 for playing a troubled policeman in the Netflix thriller series Sacred Games."
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BMTY1MDUyMjI1N15BMl5BanBnXkFtZTYwMjg4MjA0._V1_UX140_CR0,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",John Abraham,"John Abraham  (born 17 December 1972)[2] is an Indian film actor, film producer and former model who appears in Hindi films. After modelling for numerous advertisements and companies, he made his film debut with Jism (2003), which earned him the Filmfare Best Debut Award nomination.[3] This was followed by his first commercial success, Dhoom (2004). He received two Filmfare Award nominations, for his negative roles in Dhoom, and in Zinda (2006). He later appeared in the major critical success Water (2005).[4] He was nominated for a Filmfare Award for Best Supporting Actor for the film Baabul (2006). Since then, Abraham has starred in many critically and commercially successful films including Garam Masala (2005), Taxi No. 9211 (2006), Dostana (2008), New York (2009), Force (2011), Housefull 2 (2012), Race 2 (2013), Shootout at Wadala (2013), Madras Cafe (2013), Welcome Back (2015), Dishoom (2016), Parmanu: The Story of Pokhran (2018), Satyameva Jayate (2018) and Batla House (2019), thus establishing himself as a commercially successful actor of Hindi cinema."
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BYWRlMTk2NWYtYjhjNy00NmRjLTg4NWMtMmM2YjJlN2YwNWE4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR8,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Amrish Puri,"Amrish Lal Puri[1] (22 June 1932 – 12 January 2005[2]) was an Indian actor, who was an important figure in Indian theatre and cinema.He worked with notable playwrights of the time, including Satyadev Dubey and Girish Karnad. He is remembered for playing iconic villainous roles in Hindi cinema as well as other Indian and international film industries. To Indian audiences he is the most remembered for his role as Mogambo in Shekhar Kapur's Hindi film Mr. India (1987), and to Western audiences he is best known as Mola Ram in Steven Spielberg's Hollywood film Indiana Jones and the Temple of Doom (1984). Puri won two Filmfare Awards for Best Supporting Actor.[3]Amrish Lal Puri was born in Nawanshahr, Punjab, to Lala Nihal Chand and Ved Kaur.[1] He had four siblings, elder brothers Chaman Puri and Madan Puri (both of whom were also actors), elder sister Chandrakanta, and a younger brother, Harish Puri. He was the first cousin of the actor and singer K. L. Saigal.[4]Puri acted in more than 500 films between 1967 and 2005, and was one of the most successful villains in Bollywood. Most of them were hits. Puri first came to Bombay in the early 1950s following the footsteps of his elder brothers - Madan Puri and Chaman Puri, who were already established actors known for playing villainous roles[5]. He failed his first screen test, and instead found a job with the Employees' State Insurance Corporation Ministry of Labour and Employment (ESIC). At the same time, he started performing at the Prithvi Theatre in plays written by Satyadev Dubey. He eventually became well known as a stage actor and won the Sangeet Natak Akademi Award in 1979.[6] This theatre recognition soon led to work in television ads and eventually to films at the relatively late age of 40."
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BMzI4Njg3OTcyNF5BMl5BanBnXkFtZTcwNzQzMTYxOA@@._V1_UY209_CR11,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Danny Denzongpa,"Danny Denzongpa (born Tshering Phintso Denzongpa; 25 February 1948) is an Indian film actor, singer and film director. He has mainly worked in Bollywood films, though he has also appeared in several Nepali, Tamil, Bengali and Telugu films. He has acted in about 190 Hindi films since 1971. In 2003, Denzongpa was awarded the Padma Shree, India's fourth-highest civilian honour.[2] His film career spans more than 4 decades.He has also starred in some international films, the most famous being Seven Years in Tibet where he appeared alongside Brad Pitt. His best known villainous roles are in Dhund, 36 Ghante, Bandish (1980), Jeeo Aur Jeene Do, Dharm Aur Qanoon and Agneepath whereas his best known positive roles were in  Fakira, Chor Machaye Shor, Devata,  Kalicharan, Bulundi and Adhikar. His directorial venture Phir Wahi Raat was considered among the top five best horror suspense films of Hindi Cinema.[3]Denzongpa was born to a Buddhist family in Gangtok, Sikkim[4][unreliable source?] and is of Bhutia and Nepalese descent.[5] He did his schooling in Birla Vidya Mandir, Nainital and thereafter completed college coursework at St Joseph's College, Darjeeling, in 1964.[4][6] Denzongpa's love of horses and horse-riding began at an early age, as his family was into horse breeding. He is also a painter, a writer and a sculptor."
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BMjUyMWE5MjUtMDlkMC00ODc0LThkOTgtNjZhNDgyMTU5ZDhlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UX140_CR0,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Anil Kapoor,"Anil Kapoor (born 24 December 1956) is an Indian actor and producer who has appeared in over hundred Hindi-language films, as well as international films and television series.[1] His career has spanned 40 years as an actor, and as a producer since 2005. He has also won numerous awards in his career, including two National Film Awards and six Filmfare Awards in varied acting categories.Kapoor was born in Mumbai to film producer Surinder Kapoor and appeared in his first film with a small role in the Umesh Mehra's romance Hamare Tumhare (1979). He made his first debut film and then starred as a lead actor in the 1980 Telugu film, Vamsa Vruksham directed by Bapu. He then made his Kannada film debut with Mani Ratnam's Pallavi Anu Pallavi (1983). He received his first Filmfare Award, in the Best Supporting Actor category, for his role in Yash Chopra's Mashaal (1984). Kapoor earned his first Filmfare Best Actor Award for his performance in N. Chandra's Tezaab (1988) and another for his performance in Indra Kumar's Beta (1992). Kapoor subsequently starred in many other critically and commercially successful films, including Meri Jung (1985), Yudh (1985),  Karma (1986), Janbaaz (1986), Aap Ke Saath (1986), Mr. India (1987), Ghar Ho To Aisa (1990), Awaargi (1990), Benaam Badsha (1991), and Virasat (1997), for which he won the Filmfare Critics Award for Best Actor; Taal (1999), for which he won his second Filmfare Best Supporting Actor Award; Pukar (2000 ), which earned him a National Film Award for Best Actor; No Entry (2005) and Dil Dhadakne Do (2015) for which he won his third Filmfare Best Supporting Actor Award."
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BMjJmNjM1YmUtNTA2Zi00Y2U0LTgyZTItMjQ5MTE4NWJhMDgyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR10,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Rishi Kapoor,"Rishi Kapoor  (born 4 September 1952) is an Indian actor, director and producer known for his work in Hindi cinema.[1] He received the National Film Award for his debut role as a child artist in his father Raj Kapoor's 1970 film Mera Naam Joker (1970).[2] Kapoor had his first lead role as an adult opposite Dimple Kapadia in 1973 with the film Bobby and received the Filmfare Best Actor Award in 1974.Subsequently, he played leading roles as the romantic lead in 92 films between 1973 and 2000.[3] For his performance in Do Dooni Chaar, he won the Filmfare Critics Award for Best Actor in 2011, and for his role in Kapoor & Sons, he won the Filmfare Award for Best Supporting Actor in 2017. He was honoured with the Filmfare Lifetime Achievement Award in 2008.[4] He appeared opposite his future wife Neetu Singh in twelve films from 1973 and 1981.Rishi Kapoor was born in Chembur, Bombay in a Punjabi family[5][6][7] as Rishi Raj Kapoor. He is the second son of actor-film director Raj Kapoor and his wife Krishna Raj Kapoor (née Malhotra).  He is also the  grandson of actor Prithviraj Kapoor. He did his schooling with his brothers at Campion School, Mumbai and Mayo College, Ajmer. His brothers, Randhir Kapoor and Rajiv Kapoor; maternal uncles, Prem Nath and Rajendra Nath; and paternal uncles, Shashi Kapoor and Shammi Kapoor are all actors. He has two sisters, insurance agent Ritu Nanda and Rima Jain."
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BNzU2NTgwNzY1OF5BMl5BanBnXkFtZTcwMjQxNzcxOA@@._V1_UY209_CR87,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Sanjay Dutt,"Sanjay Balraj Dutt[2][3] is an Indian actor, author and film producer who works in Hindi films. He is the recipient of several awards, including two Filmfare Awards and three Screen Awards. Dutt has appeared in 187 films, ranging from romance to comedy genres, but is usually typecasted in action genres, and established himself as of the most popular Hindi film actors of the later 1990s and 2000.The son of actors Sunil Dutt and Nargis, Dutt made his acting debut in Rocky (1981), which was directed by his father. The crime thriller Naam (1985) proved to be a turning point in his career, which was followed by a series of commercially successful films in that decade, including Jeete Hain Shaan Se (1988), Mardon Wali Baat (1988), Ilaaka (1989), Hum Bhi Insaan Hain (1989) and Kanoon Apna Apna (1989). He earned nominations for the Filmfare Award for Best Actor for Saajan (1991) and Khalnayak (1993). Dutt earned his first Best Actor at the ceremony for playing a common man-turned-gangster in Vaastav: The Reality (1999). Along with Vaastav: The Reality, he also won accolades for playing an army officer in Mission Kashmir (2001), a soft-hearted goofy gangster in Munna Bhai M.B.B.S. (2003) and its sequel Lage Raho Munna Bhai (2006)."
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BMjMwNTIxODg0OF5BMl5BanBnXkFtZTgwODg2NzM0OTE@._V1_UY209_CR7,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Salman Khan,"Abdul Rashid Salim Salman Khan (pronounced [səlˈmaːn ˈxaːn]; Hindi: pronunciation (help·info); 27 December 1965)[4] is an Indian film actor, producer, occasional singer and television personality. In a film career spanning over thirty years, Khan has received numerous awards, including two National Film Awards as a film producer, and two Filmfare Awards for acting.[5] He has a significant following in Asia and the Indian diaspora worldwide,[6][better source needed] and is cited in the media as one of the most commercially successful actors of both world and Indian cinema.[7][8] According to the Forbes 2018 list of Top-Paid 100 Celebrity Entertainers in world, Khan was the highest ranked Indian with 82nd rank with earnings of $37.7 million.[9][10] He is also known as the host of the reality show, Bigg Boss since 2010.[11]The eldest son of screenwriter Salim Khan, Khan began his acting career with a supporting role in Biwi Ho To Aisi (1988), followed by a leading role in Maine Pyar Kiya (1989). Khan continued in Bollywood in the 1990s with roles in several productions, including the romantic drama Hum Aapke Hain Koun..! (1994), the action thriller Karan Arjun (1995), the comedy Biwi No.1 (1999), and the family drama Hum Saath-Saath Hain (1999). After a brief period of decline in the 2000s, Khan achieved greater stardom in the 2010s by playing the lead role in successful action films like Dabangg (2010), Ready (2011), Ek Tha Tiger (2012), Kick (2014), Sultan (2016) and Tiger Zinda Hai (2017). Forbes included him in their 2015 list of Top-Paid 100 Celebrity Entertainers in world; Khan tied with Amitabh Bachchan for No. 71 on the list, both with earnings of $33.5 million.[12][13]"
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BODUwMzUyNTUxMl5BMl5BanBnXkFtZTcwNDM2ODIyOA@@._V1_UY209_CR3,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Sunil Shetty,"Suniel Shetty (born 11 August 1961) is an Indian film actor, producer and entrepreneur who is predominantly active in Bollywood films. In a career spanning more than 25 years, he has acted in more than 110 films. His major works have been action and comedy films.[3] He has received a Filmfare Award out of five nominations.He is the owner of the production house Popcorn Entertainment Private Limited. He has produced a number of films including Khel – No Ordinary Game, Rakht and Bhagam Bhag, under the banner of Popcorn Motion Pictures.Suniel Shetty's debut film was Balwaan (1992), opposite Divya Bharti. The film was a hit and launched his career as an action hero.[citation needed] He went on to play the protagonist in various successful movies such as Balwaan (1992), Waqt Hamara Hai (1993), Dilwale (1994), Anth (1994), Mohra (1994), Gopi Kishan (1994), Krishna (1996), Sapoot (1996), Rakshak (1996), Border (1997), Bhai (1997). He was involved primarily in action films throughout the 1990s, playing the male protagonist in most of the movies he acted in during the decade. From early 2000, he mainly appeared in multi-starrers in across genres. He also starred opposite Isha Koppikar in Arjun Rampal's debut movie Pyaar Ishq Aur Mohabbat (2001). Hera Pheri (2000), Dhadkan (2000), Jungle (2000),Yeh Teraa Ghar Yeh Meraa Ghar (2001), Main Hoon Na (2004), Welcome (2007), and Red Alert: The War Within (2010).[4] In 2014, he changed the spelling of his name from Sunil to Suniel for numerological reasons.[5] Shootout at Lokhandwala (2007), One Two Three (2008) and De Dana Dan (2009). He even played negative roles in movies, including Dhadkan (2000), Khel – No Ordinary Game (2003), Baaz: A Bird in Danger (2003), Main Hoon Na (2004), Rudraksh (2004), Cash, No Problem and A Gentleman (2017)."
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BYzczOGViODMtMWY1Yi00ZTAwLTkzZjItYzlmMzU0NmM5YjBmXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY209_CR16,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Jackie Shroff,"Jai Kishan Kakubhai ""Jackie"" Shroff (born 1 February 1957) is an Indian actor. He has been in the Hindi cinema (Bollywood) industry for almost four decades and as of 2017[update] has appeared in more than 220 films in thirteen languages (Hindi, Konkani, Kannada, Marathi, Oriya, Punjabi, Bengali, Malayalam, Tamil, Telugu, Bhojpuri, Gujarati, and English language).[3][4] He has won four Filmfare Awards among other accolades. He has also appeared in several successful short films.Shroff was born as Jai Kishan Kakubhai Shroff in Mumbai, India. His father, Kakabhai Haribhai Shroff, was a Gujarati and his mother was a Turkish from Kazakhstan.[2] In the early 1900s, his grandmother escaped to Ladakh along with her seven daughters when there was a coup in Kazakhstan. They migrated to Delhi, and finally to Mumbai.[2][5] His father came from a Gujarati family of merchants and traders. However, they lost their entire money in the stock market and his father had to leave home at the age of 17. His father met his mother when both were teenagers and got married.[2]"
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BNzEwNDgwMTk3Nl5BMl5BanBnXkFtZTgwNjMwOTU4MDI@._V1_UY209_CR14,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Govinda,"Govinda and Gopāla (Sanskrit: गोविन्द/गोविंद and गोपाल) (also known as Govind, Gobind and Gopal) are the names of Vishnu which mean Cowherd and Protector of Cows. These names are also popularly addressed to Krishna, referring to his youthful activity as a cowherd boy. This name appears as the 187th and the 539th name of Lord Vishnu in Vishnu Sahasranama. Lord Vishnu or his complete incarnation Krishna are regarded as the Supreme God in the Vaishnava tradition and also by much of the pan-Hindu tradition.Gopala Krishna of Krishnaism is often contrasted with Vedism when Krishna asks his followers to desist from Vedic demigod worship such as Indra worship. Thus the character of Gopala Krishna is often considered to be non-Vedic in one interpretation, while it can also be based on the popular understanding or rather misunderstanding of the Rig Vedic texts.[1]According to Klaus Klostermaier, Kumar Gopijanavallabha – Krishna the lover of the Gopis – is the latest stage in the historical process resulting in contemporary Krishnaism, being added to the worship of Bala Krishna (the Divine Child Krishna), and the original cult of Krishna-Vasudeva which may date back to several centuries before the Common Era.[2]"
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BMjQwNDUxMzY4Ml5BMl5BanBnXkFtZTgwMTgxMTIzOTE@._V1_UY209_CR6,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Mithun Chakraborty,"Gourang Chakraborty (born 16 June 1950), better known by his stage name Mithun Chakraborty (informally referred to as Mithun Da), is an Indian film actor, singer, producer, writer, social worker, entrepreneur, television presenter and a former Rajya Sabha Member of Parliament.[2][3] He is the recipient of two Filmfare Awards and three National Film Awards. He made his acting debut with the art house drama Mrigayaa (1976), for which he won his first National Film Award for Best Actor.[4]Chakraborty played Jimmy in the 1982 film Disco Dancer, which was commercially successful in India and the Soviet Union and Russia.Besides Disco Dancer, Chakraborty is also remembered for his performance in films such as Suraksha, Saahas, Wardat, Wanted, Boxer, Pyar Jhukta Nahi, Pyari Behna, Avinash, Dance Dance, Prem Pratigya, Mujrim, Agneepath, Yugandhar, The Don and Jallad. In 1991, he won the Filmfare Award for Best Supporting Actor for his role as Krishnan Iyer Nariyal Paniwala in the film Agneepath."
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BMTk0ODU5NjAzMl5BMl5BanBnXkFtZTcwNDYyOTM5NA@@._V1_UY209_CR87,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Dharmendra,"Dharam Singh Deol (born 8 December 1935, known mononymously as Dharmendra), is an Indian film actor, producer, and politician. In 1997, he received the Filmfare Lifetime Achievement Award for his contribution to Hindi cinema.He is one of most successful actors in the history of Indian cinema.[2][3][4]One of his most notable roles was in the 1975 film Sholay.[5]He was a member of the 14th Lok Sabha of India, representing Bikaner constituency in Rajasthan from Bharatiya Janata Party (BJP). In 2012, he was awarded India's third-highest civilian honour Padma Bhushan by the Government of India.[6]Dharmendra was born Dharam Singh Deol[7] in Nasrali, a village in Ludhiana district, Punjab on 8 December, 1935 to Kewal Kishan Singh Deol and Satwant Kaur in a Punjabi Jat Sikh family,[7][8][9][10][11] His ancestral village is Dangon, near Pakhowal Tehsil Raikot, Ludhiana.[12]He spent his early life in the village of Sahnewal and studied at Government Senior Secondary School at Lalton Kalan, Ludhiana, where his father was the village school's headmaster.[13] He did his intermediate studies at Ramgarhia College, Phagwara in 1952.[14]"
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BNzczYmZiYTctYWRkYi00YTgzLWJhMWMtZGUxYTRkYWUzZWQzL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR11,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Jim Sarbh,"Jim Sarbh (born 27 August 1987) is an Indian film and stage actor. Best known for his supporting work in the Hindi Film Industry, he is the recipient of a Screen Award, an International Indian Film Academy Award and two Filmfare Award nominations. Additionally, Sarbh has directed and acted in numerous theatre productions in India.Sarbh made his feature film debut in 2016, playing the antagonist in Ram Madhvani's critically and commercially successful biographical drama Neerja; the role garnered him positive reviews from critics and such accolades as a Filmfare Award for Best Supporting Actor nomination and a Screen Award. Following his role in the thriller A Death in the Gunj (2016), he rose to prominence for playing antagonist in the period drama Padmaavat (2018) and the biopic Sanju (2018), both of which rank among the highest-grossing Indian films of all time.In addition to his film career, Sarbh has regularly appeared in theatre productions, particularly those based in Mumbai. He has attracted attention for his performances in the 2013 revival of Death of a Salesman, Rajat Kapoor's What's Done is Done, and Kalki Koechlin's Living Room. He made his directorial debut in 2014 with Bull. For his extensive work in theatre, Sarbh was listed in Forbes India's 30 under 30 list in 2015."
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BMmY4MDEyYzMtNjI3NS00ZWMyLWE2ZjQtNmM1YWE1NDQ2NDNmXkEyXkFqcGdeQXVyMTEzNjA2NzM@._V1_UX140_CR0,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Viineet Kumar,"Viineet Kumar is an Indian film actor and writer.[1][2][3] After few series of performances in his early career including the 2010 film City of Gold, he got noticed for his role in films like Bombay Talkies  and Gangs of Wasseypur. His role in Ugly and the portrayal of the character Milan Shukla in the film Daas Dev won him appreciation. He made his debut as lead actor in the 2018 Anurag Kashyap film Mukkabaaz.Kumar is from Varanasi. He was interested in sports and played Basketball on a National level.[4] His father is a mathematician. Though Vineet wanted to join the National School of Drama, he could not pursue the same due to parental pressure and social norms.[5] He is CPMT qualified and topper from his Medical College. He is a licensed medical practitioner with an MD (Doctor of Medicine) in Ayurveda from Shri Ayurveda.[6][7]Kumar came to Mumbai to participate in Superstars Talent Hunt. After winning the competition, actor-director Mahesh Manjrekar, who was one of the judges gave him a role in the Sanjay Dutt starrer Pitaah.[8] The film was received poorly and Singh faced trouble getting further roles. He then worked as an associate / assistant director for Mahesh Manjrekar in films like Viruddh (2005) and Deh.[9][10] In 2007, Singh left direction to focus solely on acting. After doing a few Bhojpuri serials and insignificant roles in films like Gori Tere Pyaar Mein and Isaaq, he got his break in the Hindi-Marathi bilingual City of Gold (2010). It was after film, he was cast by director Anurag Kashyap for the role of Danish Khan in Gangs of Wasseypur. He then acted in Ugly and Bombay Talkies (2013).[11][12][13] His role in Ugly got him his first Screen nomination for Best Supporting Actor. He also appeared in Birla Sunlife and 7up Nimbooz commercials. Kumar was seen opposite Raima Sen in the 2016 Film Bollywood Diaries, directed by K.D. Satyam. In the 2018 film Mukkabaaz, the actor played the role of a boxer.[14][15] Kumar trained hard for two years to prepare himself as the protagonist of this Anurag Kashyap film. Kumar also won huge appreciation for his role of Milan Shukla in the film Daas Dev, directed by Sudhir Mishra.[16][17][18][19] Kumar has appeared in Akshay Kumar-starrer Gold (2018).[20][21] In 2018, Singh was signed as the main lead with Prithvi Hatte in Aadhaar directed by Suman Ghosh and produced by Manish Mundra's Drishyam Films which deals with the government's controversial Aadhaar program.[22]"
